AA,Alcoa Inc 
AAB,ABN Amro Hldg N V
AAUK,Anglo Amern plc
ABK,Ambac Finl Gp Inc
ABK-AssurCorp,Ambac Assurn Corp
ABX,Barrick Gold Corp
ACAFP,Cr Agricole SA
ACCOR,ACCOR
ACE,ACE Ltd
ACEA,Acea Spa
AEGON,Aegon N V 
AEP,Amern Elec Pwr Co Inc
AET,Aetna Inc 
AICHI,Aichi Prefecture
AIFUL,Aiful Corp
AIG,Amern Intl Gp Inc
AIG-AmgenFin,Amern Gen Fin Corp
AIG-IntLeaseFin,Intl Lease Fin Corp
AKZO,AKZO Nobel N V
ALGERI,People's Democratic Rep of Algeria
ALL,Allstate Corp
ALZSE,Allianz SE
AMGN,Amgen Inc 
APC,Anadarko Pete Corp
APPLE,NY City NY
ARMLL-Fin,ArcelorMittal Fin
ARVE,Aries Vermoegensverwaltungs GmbH
ARW,Arrow Electrs Inc
ASSGEN,Assicurazioni Generali S p A
ATTINC,AT T Inc
ATTINC-ML,AT T Mobility LLC
AUCHAN,GROUPE AUCHAN
AUST,Rep Austria
AVB,Avalon Bay Cmntys Inc
AVLN,Aviva plc
AXAF,AXA
AXP,Amern Express Co
AYLL,SAFEWAY LTD
AZN,Astrazeneca PLC
AZO,Autozone Inc
BA-CapCorp,Boeing Cap Corp
BACR-Bank,Barclays Bk plc
BAD,EnBW Energie Baden Wuerttemberg AG
BANSAB,Bco de Sabadell S A
BARBAD,Barbados
BASFSE,BASF SE
BATSLN,Brit Amern Tob plc
BAX,Baxter Intl Inc
BBVSM,Bco Bilbao Vizcaya Argentaria S A
BDK,Black Decker Corp
BELG,Kdom Belgium
BERTEL,Bertelsmann AG
BGARIA,Rep Bulgaria
BHP,BHP Billiton Ltd
BHREIN,Kdom Bahrain
BKECON,Vnesheconombank
BMO,Bk Montreal
BMW,Bay Motoren Werke AG
BMY,Bristol Myers Squibb Co
BNDES,Bco Nacional Desenvolvimento Economico E Social
BNI,Burlington Nthn Santa Fe Corp
BNKIND,Bk of India
BNP,BNP Paribas
BPLN,BP P L C 
BRITEL-BritTel,Brit Telecom PLC
BRK,Berkshire Hathaway Inc
BSC,Bear Stearns Cos Inc
BSNSA,Groupe Danone
BTUN,Rep Tunisia
BTUN-CentBank,Bqe Cen de Tunisie
BXP,Boston Pptys Inc
BYIF,Bayer AG
CAF,Corp Andina de Fomento
CAG,ConAgra Foods Inc
CAH,Cardinal Health Inc
CARGIL,Cargill Inc
CARR,Carrefour
CARSO-TELM,Telefonos de Mexico S A Bursatil de Cap Variable
CAT,Caterpillar Inc
CB,Chubb Corp
CBA,Comwlth Bk Aust
CBSCOR,CBS Corp
CCBP-NATIXI,NATIXIS
CCL,Carnival Corp
CDBRYH,CADBURY Hldgs Ltd
CEG,Constellation Engy Gp Inc
CEMSAB,CEMEX S A Bursatil Cap Variable
CENTRI,Centrica plc
CESKA,Czech Expt Bk a s
CEZCO,CEZ a s 
CHIBA,Chiba Prefecture
CHILE,Rep Chile
CHINA,Peoples Rep China
CI,Cigna Corp
CIBN,Ciba Hldg Inc
CIT,CIT Gp Inc
CLAR,Clariant AG
CMBKKO,Woori Bk
CMCSA,Comcast Corp
CMZB,Commerzbank AG
CNOOC,CNOOC Ltd
COF,Cap One Finl Corp
COF-BNKNA,Cap One Bk USA Natl Assn
CONTI,Contl AG
COP,ConocoPhillips
COX-CommInc,Cox Comms Inc
CPB,Campbell Soup Co
CPGLN,Compass Gp PLC
CROATI,Rep Croatia
CSC,Computer Sciences Corp
CSGAG,Cr Suisse Group AG
CSX,CSX Corp
CTL,CenturyTel Inc
CU,CA St
CVRD,Companhia Vale do Rio Doce
CVSCRM,CVS Caremark Corp
CVX,Chevron Corp
CYPRUS,Rep Cyprus
CZECH,Czech Rep
D,Dominion Res Inc
DAMLR,Daimler AG
DANBNK,Danske Bk A S
DB,Deutsche Bk AG
DBR,Fed Rep Germany
DD,E I du Pont de Nemours Co
DE,Deere Co
DENK,Kdom Denmark
DEXO,SODEXO
DGX,Quest Diagnostics Inc
DIAG,Diageo PLC
DIS,Walt Disney Co
DNY,R R Donnelley Sons Co
DOMC,Domtar Corp
DOW,Dow Chem Co
DPW,Deutsche Post AG
DRI,Darden Restaurants Inc
DSGI,DSG Intl PLC
DT,Deutsche Telekom AG
DTV-Hldgs,DIRECTV Hldgs LLC
DUKECO,Duke Energy Carolinas LLC
DVN,Devon Engy Corp
EAD,Eurpn Aero Defence Space Co Eads N V
EDF,ELECTRICITE DE FRANCE
EDP,EDP Energias de Portugal SA
EFGHEY-EurbkErg,EFG Eurobank Ergasias SA
EIBKOR,Expt Import Bk Korea
ELTLX,AB Electrolux
EMBRQ,Embarq Corp
EMIABD,Emirate of Abu Dhabi
EMN,Eastman Chem Co
ENEL,ENEL S p A
ENI,ENI S p A 
ENTERP-ERACUSFi,ERAC USA Fin Co
EON,E ON AG
EQR-ERPOperLP,ERP Oper Ltd Pship
ESPSAN,Bco Espirito Santo S A
ESTONI,Rep Estonia
EXC-ExelonGen,Exelon Generation Co LLC
EXPGRL-EXPFIN,EXPERIAN Fin PLC
F-Hertz,Hertz Corp
FAMCA,Fed Agric Mtg Corp
FE,FirstEnergy Corp
FERRUZ,Edison S p A
FHLMC,Fed Home Ln Mtg Corp
FINL,Rep Finland
FINMEC,Finmeccanica S p A
FLRDA,St of FL
FNMA,Fed Natl Mtg Assn
FO,Fortune Brands Inc
FORTUM,Fortum Oyj
FPL-CapInc,FPL Gp Cap Inc
FRTEL,France Telecom
FRTR,French Rep
FSL,Freescale Semiconductor Inc
GASSM,Gas Nat SDG SA
GAZPRU,JSC GAZPROM
GCI,Gannett Co Inc DE
GDFS,GDF SUEZ
GE-CapCorp,Gen Elec Cap Corp
GE-GNWTH,Genworth Finl Inc
GIS,Gen Mls Inc
GKNLN-Hldgs,GKN Hldgs plc
GLCORE,Glencore Intl AG
GLTNR,Glitnir banki hf
GR,Goodrich Corp
GREECE,Hellenic Rep
GROUPE,Casino Guichard Perrachon
GS,Goldman Sachs Gp Inc
GSK,Glaxosmithkline Plc
GT,Goodyear Tire Rubr Co
HAL,Halliburton Co
HANRUE,Hannover Ruck AG
HBOS-ScotBkPLC,Bk OF SCOTLAND PLC
HD,Home Depot Inc
HEI,HeidelbergCement AG
HENAGK,Henkel AG Co KGaA
HIG,Hartford Finl Svcs Gp Inc
HIRCTY,Hiroshima City
HOLZSW,Holcim Ltd
HON,Honeywell Intl Inc
HOT,Starwood Hotels Resorts Wwide Inc
HPQ,Hewlett Packard Co
HSBC,HSBC Hldgs plc
HSBC-FinCorp,HSBC Fin Corp
HSH,HSH Nordbank AG
HUWHY,Hutchison Whampoa Ltd
HVB,Bay Hypo und Vereinsbank AG
IBERDU,Iberdrola S A
IBM,Intl Business Machs Corp
IBRD,Intl Bk for Recon Dev
ICELND,Rep Iceland
ICICIB,ICICI Bk Ltd
ILNOIS,St IL
INSTCR,Instituto de Cred Oficial
IP,Intl Paper Co
IR-NJ,Ingersoll Rand Co
IRELND,Rep Irlnd
ISRAEL,St Israel
ISRELE,Israel Elec Corp LTD
ITALY,Rep Italy
JAPAN,Japan
JCI,Johnson Ctls Inc
JCP,J C Penney Co Inc
JNJ,Johnson Johnson
JTI,JTI UK Fin PLC
JWN,Nordstrom Inc
KA,Kommunalkredit Austria AG
KAGO,Kagoshima Prefecture
KANAP,Kanagawa Prefecture
KARHYP,Hypo Alpe Adria Bk AG
KAUPBN,Kaupthing banki hf
KAZAKS,Rep Kazakhstan
KDB,Korea Dev Bk
KDSM,Koninklijke DSM NV
KFT,Kraft Foods Inc
KFW,Kred Fuer Wiederaufbau
KINGFI,Kingfisher PLC
KMB,Kimberly Clark Corp
KOREA,Rep Korea
KORELE,Korea Elec Pwr Corp
KPN,Koninklijke KPN N V
KR,The Kroger Co 
KSS,Kohls Corp
KUMAM,Kumamoto Prefecture
LAFCP,Lafarge
LATVIA,Rep Latvia
LAZIO,Lazio Region
LEH,Lehman Bros Hldgs Inc
LGEN,Legal Gen Gp PLC
LINDE,Linde AG
LITHUN,Rep Lithuania
LLL,L 3 Comms Hldgs INC
LLY,Eli Lilly Co
LMT,Lockheed Martin Corp
LNC,Lincoln Natl Corp
LRP,LRP Landbk Rheinland Pfalz
LTCB,Shinsei Bk Ltd
LTD,Ltd Brands Inc
LTR,Loews Corp
LUFTHA,Deutsche Lufthansa AG
LUV,Southwest Airls Co
M,Macy s Inc
MALAYS,Malaysia
MALTA,Rep Malta
MAR,Marriott Intl Inc
MAS,Masco Corp
MASSHT,Comwlth of MA
MBI,MBIA Inc 
MBI-InsCorp,MBIA Ins Corp
MCD,McDonalds Corp
MCK,McKesson Corp
MDC,M D C Hldgs Inc
MER,Merrill Lynch Co Inc
MET,MetLife Inc
METFNL,METRO AG
MEX,Utd Mexican Sts
MHK,Mohawk Inds Inc
MICH-CoFinMich,CIE Fin Michelin
MKS-M+SPlc,Marks Spencer p l c
MMC,Marsh Mclennan Cos Inc
MMM,3M Co
MO,Altria Gp Inc
MOET,LVMH Moet Hennessy Louis Vuitton
MONTE,Bca Monte dei Paschi di Siena S p A
MOT,Motorola Inc
MQB,Macquarie Bk Ltd
MTRC,MTR Corp Ltd
MUNRE,Munich Re
MWD,Morgan Stanley
MWV,MeadWestvaco Corp
NAPLES,CITY OF NAPLES
NESTLE,Nestle S A
NETHRS,Kdom Neth
NGP,Natl Grid Plc
NIECO,Nielsen Co
NIIG,Niigata Prefecture
NOC,Northrop Grumman Corp
NOMURA,Nomura Hldgs Inc
NORWAY,Kdom Norway
NOVART,Novartis AG
NRBS,Nthn Rock plc
NRUC,Natl Rural Utils Coop Fin Corp
NRWBK,NRW BANK
NSC,Norfolk Sthn Corp
NWJRSY,St of NJ
NWL,Newell Rubbermaid Inc
NWS-AmInc,News America Inc
NXT,Next plc
NY,St NY
NYT,NY Times Co
NZ,New Zld
OMC,Omnicom Gp Inc
OSACTY,City Osaka
OSAKA,Osaka Prefecture
OTE,Hellenic Telecom Org SA
PEMEX,Petroleos Mexicanos SA
PEP,Pepsico Inc
PETBRA,PETROLEO BRASILEIRO SA PETROBRAS
PETROL,Petroliam Nasional BHD Petronas
PEUGOT,Peugeot SA
PFE,Pfizer Inc
PG,Procter Gamble Co
PGN,Progress Engy Inc
PHG,Koninklijke Philips Electrs N V
PLD,ProLogis
PLTMPL-IntFin,Portugal Telecom Intl Fin B V
PNNSY,St of PA
POLAND,Rep Poland
PORTUG,Rep Portugal
PPR,PPR
PRAGUE,Prague City
PRU,Prudential Finl Inc
PRU-InsCoOfAmer,Prudential Ins Co Amer
PRUFIN,Prudential PLC
PSON,Pearson plc
Q,Prov de Que
QATAR,St Qatar
QHEL,Hydro Que
R,Ryder Sys Inc
RABOBK,Rabobank Nederland
RBOS,Royal Bk Scotland Gp PLC
RBOS-RBOSplc,Royal Bk Scotland plc
RDN,Radian Gp Inc
RDSPLC,ROYAL DUTCH SHELL PLC
RECSA,Red Electrica Corporacion S A
REEDLN,Reed Elsevier PLC
RENAUL,Renault
REP,Repsol YPF SA
REPHUN,Rep Hungary
RESFER,Reseau Ferre de France
RIG,Transocean Inc
ROMANI,Romania
RTN,Raytheon Co
RTRSGP,Reuters Group Ltd
RUSSIA,Russian Fedn
RWE,RWE AG
S,Sprint Nextel Corp
SAMSNG-Electron,Samsung Electrs Co Ltd
SANPAO,Intesa Sanpaolo SpA
SANTNDR,Bco SANTANDER SA
SASY,SANOFI AVENTIS
